,,Bloomberg Ticker,N/A (index product),CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,,,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US,N/A,,,CRCL US,MU US,IVV US,EXOD US,TSLA US,NVDA US,SPY US,CRCL US,QQQ US,NVDA US,MRVL US,SPY US,HIMS US,SPCX US,QQQ US,MSTR US,GOOGL US,TSLA US,GOOGL US,FGRS US,FORD US,0,0,INTC US,PDD US,CURR US,ASML US,TSM US,SOFI US,MSTR US,AAPL US,ITOT US,MSFT US,EFA US,ARM US,SPCX US,IEMG US,TSM US,AMD US,IWF US,ORCL US,SOXX US,EEM US,SNDK US,TQQQ US,COIN US,META US,AVGO US,AMZN US
Timestamp,Date,Measure,Strategy PP Variable xStock,Circle Internet Group (Ondo Tokenized),Micron Technology (Ondo Tokenized),iShares Core S&P 500 ETF (Ondo Tokenized),Exodus Movement,Tesla xStock,NVIDIA (Ondo Tokenized),SPDR S&P 500 ETF (Ondo Tokenized),Circle xStock,Invesco QQQ (Ondo Tokenized),NVIDIA xStock,Marvell Technology (Ondo Tokenized),SP500 xStock,Hims & Hers Health (Ondo Tokenized),SpaceX xStock,Nasdaq xStock,MicroStrategy xStock,Alphabet Class A (Ondo Tokenized),Tesla (Ondo Tokenized),Alphabet xStock,FGRS,Forward Industries Inc.,WisdomTree 500 Digital Fund,iShares Core MSCI EAFE ETF (Ondo Tokenized),Intel (Ondo Tokenized),PDD Holdings (Ondo Tokenized),CURRENC Group Inc.,ASML xStock,TSMC xStock,SoFi Technologies (Ondo Tokenized),MicroStrategy (Ondo Tokenized),Apple (Ondo Tokenized),iShares Core S&P Total US Stock Market ETF (Ondo Tokenized),Microsoft (Ondo Tokenized),iShares MSCI EAFE ETF (Ondo Tokenized),Arm Holdings plc (Ondo Tokenized),SpaceX (Ondo Tokenized),iShares Core MSCI Emerging Markets ETF (Ondo Tokenized),Taiwan Semiconductor Manufacturing (Ondo Tokenized),AMD (Ondo Tokenized),iShares Russell 1000 Growth ETF (Ondo Tokenized),Oracle (Ondo Tokenized),iShares Semiconductor ETF (Ondo Tokenized),iShares MSCI Emerging Markets ETF (Ondo Tokenized),SanDisk (Ondo Tokenized),ProShares UltraPro QQQ (Ondo Tokenized),Coinbase (Ondo Tokenized),Meta Platforms (Ondo Tokenized),Broadcom (Ondo Tokenized),Amazon (Ondo Tokenized),All Others (483 Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71893E+12,21-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3567934.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,8859309.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71901E+12,22-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3567934.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,8859309.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7191E+12,23-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3567934.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,8859309.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71919E+12,24-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3556388.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,8625687.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71927E+12,25-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3563689.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,8814476.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71936E+12,26-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3570990.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733340.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71945E+12,27-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3575627.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,8874959.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71953E+12,28-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3560687.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,8832114.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71962E+12,29-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3560687.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,8832114.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71971E+12,30-06-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3560687.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,8832114.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71979E+12,01-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3573878.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,9208011.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71988E+12,02-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3597296.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,9161274.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.71996E+12,03-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3616129.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,9197971.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72005E+12,04-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3616129.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,9197971.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72014E+12,05-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3639421.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,9230792.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72022E+12,06-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3639421.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,9230792.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72031E+12,07-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3639421.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,9230792.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7204E+12,08-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3641436.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111660.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72048E+12,09-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3643979.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,9126041.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72057E+12,10-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3680187.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,9189142.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72066E+12,11-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3645233.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,9010790.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72074E+12,12-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3664896.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136940.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72083E+12,13-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3664896.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136923.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72092E+12,14-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3664896.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136923.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.721E+12,15-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3677345.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,9473153.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72109E+12,16-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3698252.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,9485445.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72117E+12,17-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3643791.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,9285945.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72126E+12,18-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3614040.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,9063315.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72135E+12,19-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3589077.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319446.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72143E+12,20-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3589077.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319446.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72152E+12,21-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3589077.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319446.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72161E+12,22-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3628462.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,9424670.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72169E+12,23-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3624734.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,9391026.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72178E+12,24-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3536337.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,9018115.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72187E+12,25-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3518353.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,8815092.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72195E+12,26-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3556133.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,9031597.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72204E+12,27-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3556133.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,9031597.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72212E+12,28-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3556133.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,9031597.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72221E+12,29-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3559957.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,8916932.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7223E+12,30-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3540811.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,8719707.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72238E+12,31-07-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3598226.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,8887010.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72247E+12,01-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3548341.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,8615267.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72256E+12,02-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3479561.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,8348733.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72264E+12,03-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3479561.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,8348733.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72273E+12,04-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3479561.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,8348684.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72282E+12,05-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3375326.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,8829106.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7229E+12,06-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3415378.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,9030645.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72299E+12,07-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3389384.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,8672035.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72308E+12,08-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3469411.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,8206601.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72316E+12,09-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3487860.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,8269229.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72325E+12,10-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3487860.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,8269229.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72333E+12,11-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3487860.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,8268810.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72342E+12,12-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3488290.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,8230154.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72351E+12,13-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3547854.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,8444363.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72359E+12,14-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3562038.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,8427033.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72368E+12,15-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3622108.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,8579663.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72377E+12,16-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3630672.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692688.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72385E+12,17-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3630672.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692688.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72394E+12,18-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3630672.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692688.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72403E+12,19-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3666262.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,8743933.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72411E+12,20-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3659337.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,8636414.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7242E+12,21-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3675013.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,8772754.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72428E+12,22-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3640934.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,8574888.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72437E+12,23-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3683101.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823224.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72446E+12,24-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3683101.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823224.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72454E+12,25-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3683101.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823224.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72463E+12,26-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3670832.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,8685859.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72472E+12,27-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3676738.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,8616892.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7248E+12,28-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3654017.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,8743705.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72489E+12,29-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3654120.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721184.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72498E+12,30-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3692511.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721364.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72506E+12,31-08-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3692511.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721364.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72515E+12,01-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3692511.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721364.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72524E+12,02-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3692511.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721162.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72532E+12,03-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3614439.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,8337196.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72541E+12,04-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3607703.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,8255171.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72549E+12,05-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3598862.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,8152473.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72558E+12,06-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3535489.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,7849336.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72567E+12,07-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3535489.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,7849317.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72575E+12,08-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3535489.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,7849317.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72584E+12,09-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3576769.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,8045215.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72593E+12,10-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3594948.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,8142682.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72601E+12,11-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3635044.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,8218960.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7261E+12,12-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3663982.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,8368187.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72619E+12,13-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3689846.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,8394855.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72627E+12,14-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3689846.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,8394855.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72636E+12,15-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3689846.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,8394850.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72644E+12,16-09-2024,Bridged Token Value (Dollar),,,,,,,,,,,,,,,,,,,,,,,3695796.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,8371768.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
